HN,คำนำหน้า,ชื่อ,สกุล,เลขบัตรประชาชน,วันเดือนปีเกิด,อายุ,ระดับการศึกษา,เพศ,บ้านเลขที่,หมู่,ตำบล,อำเภอ,จังหวัด,ที่อยู่รวม,ชื่อผู้ดูแล,เบอร์โทรศัพท์,มีโรคประจำตัว,รายละเอียดโรคประจำตัว,คะแนน MMSE,ผล MMSE,คะแนน TGDS,ผล TGDS,คะแนน 8Q,ระดับความเสี่ยงฆ่าตัวตาย,ผลการได้ยินหูซ้าย,รายละเอียดหูซ้าย,ผลการได้ยินหูขวา,รายละเอียดหูขวา,การมองเห็นตาขวา (Snellen),การมองเห็นตาซ้าย (Snellen),ภาวะกลั้นปัสสาวะ,ปัญหาการนอน,วันที่ประเมิน
HN000001,นาย,ภูผา,โชติช่วง,1940937057461.00,1950-08-04,75,สูงกว่าประถมศึกษา,ชาย,111,15,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 111 หมู่ 15 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,983175231,ไม่มี,ไม่มี,24,ปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/18,6/18,ไม่มี,ไม่มี,2025-05-16
HN000002,นาย,ปรียา,ทองดี,2847359969266.00,1948-08-25,77,ประถมศึกษา,ชาย,105,3,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 105 หมู่ 3 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,ไม่มีผู้ดูแล,875037829,ไม่มี,ไม่มี,21,สงสัยผิดปกติ,9,เสี่ยงซึมเศร้า,6,ปานกลาง,ปกติ,,ผิดปกติ,ติดเชื้อในหู,6/18,6/9,มี,ไม่มี,2025-01-19
HN000003,นาย,วรัญญา,วัฒนวงศ์,4308540906521.00,1934-11-02,91,ประถมศึกษา,ชาย,78,13,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 78 หมู่ 13 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,953479385,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,4,ปกติ,4,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ปกติ,,6/18,6/12,มี,ไม่มี,2025-07-24
HN000004,นาง,ชยาธิป,ใจดี,1551834770485.00,1950-10-10,75,ประถมศึกษา,หญิง,89,13,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 89 หมู่ 13 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,ไม่มีผู้ดูแล,996851709,มี,ความดันโลหิตสูง,27,ปกติ,8,เสี่ยงซึมเศร้า,9,ปานกลาง,ปกติ,,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-08-24
HN000005,นาย,ภูริ,ศรีภูมิ,6595165648051.00,1933-04-26,92,ประถมศึกษา,ชาย,74,15,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 74 หมู่ 15 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,ไม่มีผู้ดูแล,892947393,มี,โรคหัวใจ,26,ปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,หูตึงรุนแรง,6/18,6/24,มี,ไม่มี,2025-07-18
HN000006,นาย,ภูริ,วัฒนวงศ์,9536621879984.00,1947-09-21,78,ประถมศึกษา,ชาย,85,11,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 85 หมู่ 11 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,นงนุช ปัญญา,991918244,ไม่มี,ไม่มี,23,สงสัยผิดปกติ,8,เสี่ยงซึมเศร้า,2,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ผิดปกติ,หูตึงเล็กน้อย,6/18,6/12,มี,ไม่มี,2025-06-26
HN000007,นาย,ธิดารัตน์,บุญยืน,6756543139808.00,1943-12-17,82,ประถมศึกษา,ชาย,36,1,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 36 หมู่ 1 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,อาทิตย์ แสงทอง,901094790,ไม่มี,ไม่มี,17,สงสัยผิดปกติ,4,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/18,6/12,ไม่มี,ไม่มี,2025-02-12
HN000008,นาง,ชยาธิป,ศิริสุข,9850404011233.00,1950-05-19,75,ประถมศึกษา,หญิง,167,13,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 167 หมู่ 13 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,สมพร แสงทอง,814844991,มี,ไตเรื้อรัง,22,สงสัยผิดปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/18,ไม่มี,ไม่มี,2025-05-24
HN000009,นาง,กันตพงศ์,อรุณสวัสดิ์,1354813646002.00,1935-12-27,90,สูงกว่าประถมศึกษา,หญิง,83,9,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 83 หมู่ 9 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,ไม่มีผู้ดูแล,934302519,มี,โรคหัวใจ,24,ปกติ,10,เสี่ยงซึมเศร้า,5,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-06-27
HN000010,นาย,กิตติชัย,วัฒนานนท์,1785728950396.00,1961-02-19,64,สูงกว่าประถมศึกษา,ชาย,108,13,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 108 หมู่ 13 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,ทศพล วงศ์ไทย,847026129,มี,โรคหัวใจ,29,ปกติ,0,ปกติ,0,ไม่มีความเสี่ยง,ปกติ,,ปกติ,,6/6,6/12,มี,ไม่มี,2025-10-19
